"full_name","team","age","position","goals_overall","assists_overall"
"Daniel Lajud Martínez","Lebanon",25,"Forward",0,0
"Rafael Struick","Indonesia",21,"Forward",0,0
"Ivar Jenner","Indonesia",20,"Midfielder",0,0
"Justin Hubner","Indonesia",20,"Defender",1,0
"Marc Klok","Indonesia",31,"Midfielder",0,0
"Sandy Walsh","Indonesia",29,"Defender",1,0
"Shayne Pattynama","Indonesia",25,"Midfielder",0,0
"Michael Udebuluzor","Hong_Kong",20,"Forward",0,0
"Look Saa Nicholas K. Mickelson","Thailand",25,"Defender",0,0
"Abdul Aziz Bubarak Zayid Gheilani","Oman",29,"Defender",0,0
"Abdullah Fawaz","Oman",27,"Forward",0,0
"Ahmed Faraj Abdulla Al Rawahi","Oman",30,"Goalkeeper",0,0
"Ahmed Khalifa Said Al Kaabi","Oman",27,"Midfielder",0,0
"Ahmed Mohammed Khalfan Al Khamisi","Oman",32,"Defender",0,0
"Ali Sulaiman Rashid Al Busaidi","Oman",33,"Defender",0,0
"Fahmi Said Rajab Durbein","Oman",30,"Defender",0,0
"Faiyz Issa Khadoom Al Rashidi","Oman",36,"Goalkeeper",0,0
"Ghanim Ramadhan Bashir Al Habashi","Oman",26,"Midfielder",0,0
"Harib Jamil Zaid Al Saadi","Oman",34,"Midfielder",0,0
"Ibrahim Saleh Al Mukhaini","Oman",27,"Goalkeeper",0,0
"Jameel Al Yahmadi","Oman",30,"Midfielder",0,0
"Khalid Al-Braiki","Oman",31,"Defender",0,0
"Mahmood Mabrook Nasib Al Mushaifri","Oman",31,"Defender",0,0
"Mataz Saleh Abd Raboh","Oman",28,"Midfielder",0,0
"Muhsen Saleh Abdullah Ali Al Ghassani","Oman",27,"Forward",1,0
"Omer Mohammed Rashid Malki","Oman",30,"Midfielder",0,0
"Salaah Said Salim Al-Yahyaei","Oman",30,"Midfielder",1,0
"Tameem Haitham Shambeh Al Balushi","Oman",24,"Midfielder",0,0
"Zahir Sulaiman Abdullah Al Aghbari","Oman",25,"Midfielder",0,0
"Al Mahdi Issa","Palestine",25,"Midfielder",0,0
"Baraa Kharoub","Palestine",26,"Midfielder",0,0
"Ikram Rami Hamadeh","Palestine",30,"Goalkeeper",0,0
"Islam Batran","Palestine",29,"Midfielder",0,0
"Mahmoud Abu Warda","Palestine",29,"Forward",0,0
"Mahmoud Wadi","Palestine",29,"Forward",0,0
"Mohammed Bassim","Palestine",29,"Defender",0,0
"Mohammed Khalil","Palestine",26,"Defender",0,0
"Mohammed Saleh","Palestine",31,"Defender",0,0
"Mus'ab Al Battat","Palestine",30,"Midfielder",0,2
"Musa Firawi","Palestine",27,"Defender",0,0
"Naim Abuaker","Palestine",29,"Goalkeeper",0,0
"Oday Dabbagh","Palestine",25,"Forward",3,0
"Oday Kharoub","Palestine",31,"Midfielder",0,0
"Samer Jondi","Palestine",27,"Defender",0,0
"Shihab Qinbar","Palestine",26,"Midfielder",0,0
"Tamer Seyam","Palestine",31,"Midfielder",1,0
"Zaid A. Q. Qunbar","Palestine",21,"Midfielder",1,0
"Abdulaziz Hatem Mohammed Abdullah","Qatar",34,"Midfielder",0,1
"Ahmed Alaaeldin Abdelmotaal","Qatar",31,"Forward",0,0
"Ahmed Alganehi","Qatar",23,"Defender",0,0
"Ahmed Fathy","Qatar",31,"Midfielder",0,1
"Akram Hassan Afif","Qatar",27,"Forward",8,3
"Ali Assadalla Thaimn Qambar","Qatar",31,"Midfielder",0,0
"Almahdi Ali Mukhtar","Qatar",32,"Defender",0,0
"Almoez Ali Zainalabiddin Abdulla","Qatar",27,"Forward",2,2
"Bassam Hisham Al Rawi","Qatar",26,"Midfielder",0,0
"Boualem Khoukhi","Qatar",34,"Defender",0,0
"Hassan Khalid Al Haidos","Qatar",33,"Forward",3,0
"Homam Ahmed Ahmed","Qatar",24,"Defender",0,0
"Ismaeel Mohammad Mohammad","Qatar",34,"Forward",0,0
"Jassem Gaber Abdulsallam","Qatar",22,"Defender",1,0
"Khalid Mohammed","Qatar",24,"Midfielder",0,0
"Khalid Muneer Mazeed","Qatar",26,"Forward",0,0
"Meshaal Aissa Barsham","Qatar",26,"Goalkeeper",0,0
"Mohammed Waed Abdulwahhab","Qatar",24,"Midfielder",0,1
"Pedro Miguel Correia","Qatar",34,"Defender",0,0
"Saad Abdullah Al Sheeb","Qatar",34,"Goalkeeper",0,0
"Salah Zakaria Hassan","Qatar",25,"Goalkeeper",0,0
"Sultan Hussain Al-Brake","Qatar",28,"Defender",0,0
"Tarek Salman Salman","Qatar",26,"Midfielder",0,0
"Youssef Abdel Razaq Youssef","Qatar",24,"Midfielder",0,0
"Alisher Dzhalilov","Tajikistan",30,"Midfielder",0,0
"Abdulelah Al Malki","Saudi_Arabia",29,"Midfielder",0,0
"Abdullah Alkhaibari","Saudi_Arabia",27,"Midfielder",0,0
"Abdullah Hadi Radif","Saudi_Arabia",25,"Midfielder",1,0
"Abdulrahman Ghareeb","Saudi_Arabia",27,"Midfielder",1,0
"Ahmed Ali Al Kassar","Saudi_Arabia",33,"Goalkeeper",0,0
"Ali Alawjami","Saudi_Arabia",28,"Defender",0,1
"Ali Albulayhi","Saudi_Arabia",34,"Defender",1,0
"Awn Mutlaq Al Slaluli","Saudi_Arabia",25,"Defender",0,0
"Eid Mohammed Saeed Al Muwallad","Saudi_Arabia",22,"Midfielder",0,0
"Fawaz Al Sagourq","Saudi_Arabia",28,"Midfielder",0,0
"Firas Albirakan","Saudi_Arabia",24,"Forward",0,0
"Hasan Kadesh","Saudi_Arabia",31,"Defender",0,0
"Hassan Mohammed Al Tambakti","Saudi_Arabia",25,"Defender",0,0
"Mohammed Al Burayk","Saudi_Arabia",31,"Defender",0,0
"Mohammed Al Yami","Saudi_Arabia",26,"Goalkeeper",0,0
"Mohammed Kanoo","Saudi_Arabia",29,"Midfielder",1,0
"Nasser Al Dawsari","Saudi_Arabia",25,"Midfielder",0,0
"Raghid Alaa Najjar","Saudi_Arabia",27,"Goalkeeper",0,0
"Saleh Khalid Al Shehri","Saudi_Arabia",30,"Forward",0,0
"Salem Mohammed Al Dawsari","Saudi_Arabia",32,"Midfielder",0,1
"Sami Khalil Al Naji","Saudi_Arabia",27,"Midfielder",0,0
"Saud Abdullah Abdul Hamid","Saudi_Arabia",25,"Defender",0,1
"Talal Abubakr Haji","Saudi_Arabia",16,"Midfielder",0,0
"Harry Souttar","Australia",25,"Defender",1,0
"Martin Boyle","Australia",31,"Forward",2,0
"Bum-Keun Song","South_Korea",26,"Goalkeeper",0,0
"Hee-Chan Hwang","South_Korea",28,"Forward",1,0
"Heung-Min Son","South_Korea",32,"Forward",3,0
"Hyeon-seok Hong","South_Korea",25,"Midfielder",0,0
"Hyun-Gyu Oh","South_Korea",23,"Forward",0,0
"Hyun-Jun Yang","South_Korea",22,"Midfielder",0,0
"Hyun-Woo Cho","South_Korea",32,"Goalkeeper",0,0
"In-Beom Hwang","South_Korea",27,"Midfielder",1,1
"Jae-Sung Lee","South_Korea",31,"Midfielder",0,0
"Ji-Soo Kim","South_Korea",19,"Midfielder",0,0
"Jin-Seop Park","South_Korea",28,"Midfielder",0,0
"Jin-Su Kim","South_Korea",32,"Defender",0,0
"Ju-sung Kim","South_Korea",23,"Defender",0,0
"Ki-Je Lee","South_Korea",33,"Defender",0,0
"Kyu-Sung Cho","South_Korea",26,"Forward",1,0
"Lee Kang-in","South_Korea",23,"Midfielder",3,1
"Min-Jae Kim","South_Korea",27,"Defender",0,1
